coin|name|inner_coin|inner_name|depositenable|withdrawenable|network
SPUME|Spume Protocol|SPUME|Spume Protocol|True|True|Ethereum(ERC20)
SPC|Storepay|SPC|Storepay|True|True|BNB Smart Chain(BEP20)
BNU|ByteNext|BNU|ByteNext|False|True|BNB Smart Chain(BEP20)
BNT|Bancor|BNT|Bancor|True|True|Ethereum(ERC20)
SPH|Spheroid Universe|SPH|Spheroid Universe|True|True|Ethereum(ERC20)
LUXURY|LUXURY|LUXURY|LUXURY|True|True|Ethereum(ERC20)
KUJIOLD|Kujira|KUJIOLD|Kujira|False|True|LUNC
SPG|Space Crypto|SPG|Space Crypto|False|True|BNB Smart Chain(BEP20)
SPI|Shopping.io|SPI|Shopping.io|False|True|Ethereum(ERC20)
BNX|BinaryX|BNX|BinaryX|True|True|BNB Smart Chain(BEP20)
T23|T23|T23|T23|False|True|BNB Smart Chain(BEP20)
BOB|BOB|BOB|BOB|True|True|Ethereum(ERC20)
ARTEQ|arteQ|ARTEQ|arteQ|False|True|Ethereum(ERC20)
ZYRO|ZYRO|ZYRO|ZYRO|False|True|Zilliqa(ZIL)
SPT|SeaPad|SPT|SeaPad|True|True|Sui
SPS|Splintershards|SPS|Splintershards|True|True|BNB Smart Chain(BEP20)
SPX|Super Trade|SPX|Super Trade|True|True|BNB Smart Chain(BEP20)
SPY|Smarty Pay|SPY|Smarty Pay|False|True|BNB Smart Chain(BEP20)
HOTCROSS|Hot Cross|HOTCROSS|Hot Cross|False|False|BNB Smart Chain(BEP20)
HOTCROSS|Hot Cross|HOTCROSS|Hot Cross|False|True|Ethereum(ERC20)
BOO|Spookyswap|BOO|Spookyswap|True|True|Fantom(FTM)
BOR|BoringDAO|BOR|BoringDAO|False|False|Ethereum(ERC20)
BOT|Starbots|BOT|Starbots Token|False|True|Solana(SOL)
BOT|Starbots|BOT|Starbots|False|False|BNB Smart Chain(BEP20)
TOOB|Toobcoin|TOOB|Toobcoin|False|True|Tron(TRC20)
PSOLD|PS|PSOLD|PS|False|False|Ethereum(ERC20)
BOW|ArcherSwap Token|BOW|ArcherSwap Token|False|True|CORE
KAD|Schmuserkadser|KAD|Schmuserkadser|True|True|Solana(SOL)
KAF|KAIF Platform|KAF|KAIF Platform|True|True|BNB Smart Chain(BEP20)
KAI|KardiaChain|KAI|KardiaChain|True|True|Ethereum(ERC20)
EKTA|Ekta|EKTA|Ekta|True|True|BNB Smart Chain(BEP20)
CENX|Centcex|CENX|Centcex|True|True|BNB Smart Chain(BEP20)
BPC|Brave Power Crystal|BPC|Brave Power Crystal|True|True|OASYS
CENT|Centaurify|CENT|Centaurify|False|True|Ethereum(ERC20)
CENS|Cens World|CENS|Cens World|False|True|BNB Smart Chain(BEP20)
NEMS|The Nemesis|NEMS|The Nemesis|True|True|Ethereum(ERC20)
KAN|KAN|KAN|KAN|False|False|Ethereum(ERC20)
KAP|KAP Games|KAP|KAP Games|True|True|Ethereum(ERC20)
KAS|Kaspa|KAS|Kaspa|True|True|Kaspa(KAS)
TOON|Pontoon|TOON|Pontoon|False|True|BNB Smart Chain(BEP20)
KAR|KARURA|KAR|KARURA|True|True|KAR
KAT|KaratDAO|KAT|KaratDAO|True|True|zkSync Era
NEOX|Neoxa|NEOX|Neoxa|True|True|Neoxa Network
SRC|Synthetic Realities|SRC|Synthetic Realities|False|True|BNB Smart Chain(BEP20)
ETHA|ETHA|ETHA|ETHA|True|True|Ethereum(ERC20)
KBD|Kyberdyne|KBD|Kyberdyne|True|True|BNB Smart Chain(BEP20)
SRK|SparkPoint|SRK|SparkPoint|False|True|Ethereum(ERC20)
KBC|Kabuni Coin|KBC|Kabuni Coin|False|True|Ethereum(ERC20)
ETHF|Ethereum fair|ETHF|Ethereum fair|False|False|ETF
SRM|Serum|SRM|Serum|True|True|Ethereum(ERC20)
TORN|TornadoCash|TORN|TornadoCash|True|True|Ethereum(ERC20)
SRP|Starpunk|SRP|Starpunk|False|True|BNB Smart Chain(BEP20)
SRT|Smart Reward Token|SRT|Smart Reward Token|True|True|Ethereum(ERC20)
SRS|Sirius Finance|SRS|Sirius Finance|False|True|ASTAREVM
TORG|TORG|TORG|TORG|False|True|Ethereum(ERC20)
ETHBEAR|ETHBEAR|ETHBEAR|ETHBEAR|False|True|Ethereum(ERC20)
BITCI|Bitcicoin|BITCI|Bitcicoin|True|True|BITCI
STRIKE|Strike Finance|STRIKE|Strike Finance|True|False|Ethereum(ERC20)
FILDA|FILDA|FILDA|FILDA|False|False|HECO
ETHS|ETHS|ETHS|ETHS|False|False|NONE
URUS|Aurox|URUS|Aurox|False|True|Ethereum(ERC20)
ETHW|ETHW|ETHW|ETHW|True|True|ETHW
