gen_name|name_BIT|name_EXMO|name_HTX|name_OKX|name_MEXC|count_none
VETUSDT|None|None|vetusdt|None|VETUSDT|3
OGUSDT|OG-USDT|None|ogusdt|None|OGUSDT|2
DYDXUSDT|DYDX-USDT|None|dydxusdt|DYDX-USDT|DYDXUSDT|1
OKTUSDT|None|None|None|OKT-USDT|OKTUSDT|3
MINAUSDT|None|None|minausdt|MINA-USDT|MINAUSDT|2
GMXUSDT|None|None|gmxusdt|GMX-USDT|GMXUSDT|2
OPULUSDT|None|None|opulusdt|None|OPULUSDT|3
NULSUSDT|None|None|nulsusdt|NULS-USDT|NULSUSDT|2
ARVUSDT|None|None|arvusdt|None|ARVUSDT|3
RONUSDT|None|None|None|RON-USDT|RONUSDT|3
ZKBUSDT|None|None|zkbusdt|None|ZKBUSDT|3
CTXCUSDT|None|None|ctxcusdt|CTXC-USDT|CTXCUSDT|2
DOSEUSDT|None|None|doseusdt|DOSE-USDT|DOSEUSDT|2
BABYDOGEUSDT|None|None|babydogeusdt|BABYDOGE-USDT|BABYDOGEUSDT|2
ETHBTC|ETH-BTC|ETH_BTC|ethbtc|ETH-BTC|ETHBTC|0
RAYUSDT|None|None|None|RAY-USDT|RAYUSDT|3
GEARUSDT|None|None|None|GEAR-USDT|GEARUSDT|3
CYBERUSDT|None|None|cyberusdt|None|CYBERUSDT|3
ZRXUSDT|None|None|zrxusdt|ZRX-USDT|ZRXUSDT|2
STARLUSDT|None|None|None|STARL-USDT|STARLUSDT|3
GALUSDT|GAL-USDT|None|galusdt|GAL-USDT|GALUSDT|1
OSMOUSDT|None|None|osmousdt|None|OSMOUSDT|3
WIFUSDT|None|None|wifusdt|None|WIFUSDT|3
CQTUSDT|None|None|None|CQT-USDT|CQTUSDT|3
PANDOUSDT|None|None|pandousdt|None|PANDOUSDT|3
MOOVUSDT|None|None|moovusdt|None|MOOVUSDT|3
TRXETH|None|None|trxeth|TRX-ETH|None|3
SPRTUSDT|None|None|sprtusdt|None|SPRTUSDT|3
AIDOGEUSDT|None|None|aidogeusdt|AIDOGE-USDT|AIDOGEUSDT|2
MOVEZUSDT|None|None|movezusdt|MOVEZ-USDT|None|3
DOGEUSDT|DOGE-USDT|DOGE_USDT|dogeusdt|DOGE-USDT|DOGEUSDT|0
AAVEUSDC|None|None|None|AAVE-USDC|AAVEUSDC|3
TROLLUSDT|None|None|trollusdt|None|TROLLUSDT|3
LSDUSDT|None|None|lsdusdt|None|LSDUSDT|3
REVVUSDT|None|None|revvusdt|REVV-USDT|REVVUSDT|2
BNTUSDT|None|None|bntusdt|BNT-USDT|BNTUSDT|2
FTTUSDT|None|None|fttusdt|None|FTTUSDT|3
SCRTUSDT|None|None|scrtusdt|None|SCRTUSDT|3
ICPUSDT|None|None|icpusdt|ICP-USDT|ICPUSDT|2
HFTUSDT|None|None|hftusdt|None|HFTUSDT|3
BCHBTC|BCH-BTC|BCH_BTC|bchbtc|BCH-BTC|BCHBTC|0
USDTTRY|None|None|usdttry|USDT-TRY|None|3
